brand,description,pricecurrency,price,title,collection_name,collection_url,url,images_dir,s3_dir,manufacturer,country_of_origin,imported_by,weight,generic_name,unit_of_measurement,marketed_by,article_code,product_dimensions
Puma,"The RS-X is back. The retro-futuristic silhouette of this sneaker returns with an improved aesthetic and chunky details, complete with nubuck and suede overlays. This combination creates a stunning look that shows off your stunning style.",,"₹ 11,999.00",RS-X EFEKT MID GREYBLACK,men-sneakers,https://www.superkicks.in/collections/men-sneakers,https://www.superkicks.in/products/rs-x-efekt-mid-grey-black,data/raw/superkicks/men-sneakers/images/puma/rs-x efekt mid greyblack,s3://sneakers-ml/data/raw/superkicks/men-sneakers/images/puma/rs-x efekt mid greyblack,Puma,China,Puma India Pvt. Ltd.,0.95kg,shoe,1 Pair,Superkicks India Pvt. Ltd.,39075506,
Clarks Originals,"An iconic shoe to carry you through this season and many more, the beloved Wallabee returns in a mood-boosting mauve shade to energize your collection. Crafted with butter-soft suede for a premium feel, this iconic silhouette stays true to its design DNA with a chunky pebble crepe sole, waxy laces, and tonal logo fobs.",,"₹ 14,999.00",WALLABEE CUP BURGUNDY COMBI,men-sneakers,https://www.superkicks.in/collections/men-sneakers,https://www.superkicks.in/products/wallabee-cup-burgundy-combi,data/raw/superkicks/men-sneakers/images/clarks originals/wallabee cup burgundy combi,s3://sneakers-ml/data/raw/superkicks/men-sneakers/images/clarks originals/wallabee cup burgundy combi,Clarks Rellance Footwear Pvt. Ltd.,Vietnam,Clarks Rellance Footwear Pvt. Ltd.,0.95 KG,SHOE,1 Pair,Superkicks India Pvt. Ltd.,26174512,
Jordan,"Zion's third signature shoe celebrates the dedication he puts in to crafting his singular game. Packed with court-ready tech, it's designed for ballers who are masters of both land and air. Stay low and contained, explode skyward, with a cushioned return to earth. The Zion 3 helps hold you down—so you can fly your own way.Lateral ActionSide to side, left to right. Traction on the outsole helps you grip the court with every step, and a foam carrier in the midsole adds support for your ankle and heel.Up Fast, Down HardNike Air helps you get those powerful ups when you blast off the court—and adds cushioning on reentry.Get LowFor improved ground feel, we dropped in some Formula 23 foam. It's soft and responsive underfoot, helping you stay low in your movements.More Details  PF edition designed to run wide for play on outdoor courts.",,"₹ 12,795.00",ZION 3 PF MINT FOAMCONCORD-PSYCHIC PURPLE,men-sneakers,https://www.superkicks.in/collections/men-sneakers,https://www.superkicks.in/products/zion-3-pf-mint-foam-concord-psychic-purple,data/raw/superkicks/men-sneakers/images/jordan/zion 3 pf mint foamconcord-psychic purple,s3://sneakers-ml/data/raw/superkicks/men-sneakers/images/jordan/zion 3 pf mint foamconcord-psychic purple,Nike India Pvt. Ltd.,Vietnam,Nike India Pvt. Ltd.,0.95 KG,SHOE,1 Pair,Superkicks India Pvt. Ltd.,DR0676-300,
Nike,"Paying homage to both heritage and innovation, we've blended 2 icons (old and new) to go beyond what's expected in the Nike Air Max Flyknit Racer. Incredibly light and airy Flyknit pairs with oh-so-comfy Air Max cushioning. Lace up and let your feet do the talking.Retro Super PowerInspired by the 2012 FK Racer, the featherweight, form-fitting Flyknit upper is as revolutionary as it is good looking. Plus, the nearly seamless design adds a sporty edge.Best Made BetterThe modernized look of the Pre-Day tooling fits perfectly with this mashup of heritage meets innovation. With its chiseled heel and expressive window around the Air Max cushioning (originally designed for performance running) it delivers a fresh take on tried-and-true comfort.Soft synthetic suede detailing adds a classic touch.Collar sculpts the ankle for a track-inspired look.Foam midsole delivers springy cushioning.",,"₹ 14,995.00",AIR MAX FLYKNIT RACER BLACKWHITE,men-sneakers,https://www.superkicks.in/collections/men-sneakers,https://www.superkicks.in/products/air-max-flyknit-racer-black-white,data/raw/superkicks/men-sneakers/images/nike/air max flyknit racer blackwhite,s3://sneakers-ml/data/raw/superkicks/men-sneakers/images/nike/air max flyknit racer blackwhite,Nike India Pvt. Ltd.,Vietnam,Nike India Pvt. Ltd.,0.95 KG,SHOE,1 Pair,Superkicks India Pvt. Ltd.,DJ6106-001,
Puma,Back to the PAMPUMA island: The joint collaboration with Perks and Mini brings you back to the creative BIOVERSE. The new designs are made of robust materials and have light graphics and elements inspired by football. Like this version of the our Suede VTG sneakers. The vintage silhouette dons its signature suede upper for a look you can lounge in while on the island.,,"₹ 8,999.00",PUMA x PERKS AND MINI SUEDE VTG FRESH PEAR,men-sneakers,https://www.superkicks.in/collections/men-sneakers,https://www.superkicks.in/products/puma-x-perks-and-mini-suede-vtg-fresh-pear,data/raw/superkicks/men-sneakers/images/puma/puma x perks and mini suede vtg fresh pear,s3://sneakers-ml/data/raw/superkicks/men-sneakers/images/puma/puma x perks and mini suede vtg fresh pear,Puma,Indonesia,Puma India Pvt. Ltd.,0.95kg,Shoe,1 Pairs,Superkicks India Pvt. Ltd.,39476801,
Clarks Originals,"An iconic shoe to carry you through this season and many more, the beloved Wallabee returns in a mood-boosting mauve shade to energize your collection. Crafted with butter-soft suede for a premium feel, this iconic silhouette stays true to its design DNA with a chunky pebble crepe sole, waxy laces, and tonal logo fobs.",,"₹ 14,999.00",WALLABEE LOW MAUVE,men-sneakers,https://www.superkicks.in/collections/men-sneakers,https://www.superkicks.in/products/wallabee-low-mauve,data/raw/superkicks/men-sneakers/images/clarks originals/wallabee low mauve,s3://sneakers-ml/data/raw/superkicks/men-sneakers/images/clarks originals/wallabee low mauve,Clarks Rellance Footwear Pvt. Ltd.,Vietnam,Clarks Rellance Footwear Pvt. Ltd.,0.95 KG,SHOE,1 Pair,Superkicks India Pvt. Ltd.,26173639,
Adidas Originals,"SHOES THAT BRIDGE THE GAP BETWEEN SPORT AND STREET ATTITUDE. With roots in the 1980s basketball archives, adidas Rivalry shoes now have influence far beyond the hardwood. Adopted by skaters, punks and artists alike, they represent a certain nostalgia that also rocks attitude. Made with a leather and nubuck upper, this release has a low-profile and muted colours for a premium look. The rubber outsole provides traction and stability.",,"₹ 10,999.00",RIVALRY 86 LOW OFF WHITECORE BLACKWONDER BEIGE,men-sneakers,https://www.superkicks.in/collections/men-sneakers,https://www.superkicks.in/products/rivalry-86-low-off-white-core-black-wonder-beige,data/raw/superkicks/men-sneakers/images/adidas originals/rivalry 86 low off whitecore blackwonder beige,s3://sneakers-ml/data/raw/superkicks/men-sneakers/images/adidas originals/rivalry 86 low off whitecore blackwonder beige,Adidas India Pvt. Ltd.,China,Adidas India Pvt. Ltd.,0.95 KG,Shoe,1 Pair,Superkicks India Pvt. Ltd.,IE7171,
Converse,"HER MOVE. You already know our high-topthat canvas upper, the diamond pattern outsole, and iconic ankle patch. We streamlined this classic silhouette for her and dropped it into an ultra-lightweight EVA cupsole, giving you the Chuck Taylor All Star Move. With extra comfort and height. There she goes.  High-top, platform sneaker with canvas upper Classic star ankle patch Beveled-edge eyelets for modern look EVA cushioning makes it lightweight Die-cut SmartFOAM sockliner for extra comfort",,"₹ 4,999.00",WMNS CHUCK TAYLOR ALL STAR MOVE PLATFORM WHITE,men-sneakers,https://www.superkicks.in/collections/men-sneakers,https://www.superkicks.in/products/wmns-chuck-taylor-all-star-move-platform-white,data/raw/superkicks/men-sneakers/images/converse/wmns chuck taylor all star move platform white,s3://sneakers-ml/data/raw/superkicks/men-sneakers/images/converse/wmns chuck taylor all star move platform white,Converse,Vietnam,CAMP INDIA PVT LTD,0.95kg,Shoe,1 pair,Superkicks India Pvt. Ltd.,568498C,
Jordan,"TRUE TO FORM.The Air Jordan 13 Retro brings back the memorable game shoe that Michael Jordan wore during the '97-98 season, all the way to his 6th championship title. All the classic details are there like the quilted overlay, iconic sculpted midsole and holographic eye.Genuine leather and textile materials in the upper.Phylon midsole with encapsulated Zoom Air unit in the forefoot and heel.Rubber outsole pods are strategically placed to optimize traction and flexibility.More Details  Not intended for use as Personal Protective Equipment (PPE)",,"₹ 19,295.00",AIR JORDAN 13 RETRO WHITEWHEAT,men-sneakers,https://www.superkicks.in/collections/men-sneakers,https://www.superkicks.in/products/air-jordan-13-retro-white-wheat,data/raw/superkicks/men-sneakers/images/jordan/air jordan 13 retro whitewheat,s3://sneakers-ml/data/raw/superkicks/men-sneakers/images/jordan/air jordan 13 retro whitewheat,Nike India Pvt. Ltd.,China,Nike India Pvt. Ltd.,0.95 KG,SHOE,1 Pair,Superkicks India Pvt. Ltd.,414571-171,
Converse,"The latest iteration of the fan-favourite Run Star Hike, the Run Star Legacy CX mixes bold platform styling with premium comfort. A lightweight CX midsole and sockliner help keep you light on your feet, while distorted Chuck Taylor design elements keep them guessing. A winged tongue and heel bumper allow for easy on and off, so nothing can slow you down.  Details  High-top platform shoe with canvas upper A CX foam midsole and sockliner help keep it lightweight and comfortable Distroted rubber pinstripe bumpers for style and easy-off functionality Exaggerated collar and winged tongue for ease of entry Tortoise shell hits for a high-fashion look Elevation Height: 49mm",,"₹ 8,999.00",RUN STAR LEGACY CX TORTOISE HIGH TOP BLACK,men-sneakers,https://www.superkicks.in/collections/men-sneakers,https://www.superkicks.in/products/run-star-legacy-cx-tortoise-high-top-black,data/raw/superkicks/men-sneakers/images/converse/run star legacy cx tortoise high top black,s3://sneakers-ml/data/raw/superkicks/men-sneakers/images/converse/run star legacy cx tortoise high top black,Converse,Vietnam,CAMP INDIA PVT LTD,0.95kg,Shoe,1 pair,Superkicks India Pvt. Ltd.,A06903C,
Converse,"Just in time for cooler weather, your favorite Chucks get a fresh look for the season. Fall-ready canvas in trending colors help you add standout style to your rotation. On those shorter days, why not add some color to your look?  High top with canvas upper. OrthoLite cushioning for all-day comfort. On-trend color palette. Durable polyester laces. Fused All Star patch.",,"₹ 4,299.00",CHUCK TAYLOR ALL STAR BROWNBLACK,men-sneakers,https://www.superkicks.in/collections/men-sneakers,https://www.superkicks.in/products/chuck-taylor-all-star-brown-black,data/raw/superkicks/men-sneakers/images/converse/chuck taylor all star brownblack,s3://sneakers-ml/data/raw/superkicks/men-sneakers/images/converse/chuck taylor all star brownblack,Converse,Vietnam,CAMP INDIA PVT LTD,0.95kg,Shoe,1 pair,Superkicks India Pvt. Ltd.,A04543C,
Converse,"The latest iteration of the fan-favourite Run Star Hike, the Run Star Legacy CX mixes bold platform styling with premium comfort. A lightweight CX midsole and sockliner help keep you light on your feet, while distorted Chuck Taylor design elements keep them guessing. A winged tongue and heel bumper allow for easy on and off, so nothing can slow you down.  Details  High-top platform shoe with 12oz cotton canvas upper A CX foam midsole and sockliner keep it lightweight and comfortable Distorted rubber pinstripe bumpers for style and easy-off functionality Exaggerated collar and tongue for ease of entry Iconic Chuck Taylor ankle patch Elevation Height: 49mm",,"₹ 8,499.00",RUN STAR LEGACY CX HIGH TOP CONVERSE UTILITY UTILITYEGRETWHITE,men-sneakers,https://www.superkicks.in/collections/men-sneakers,https://www.superkicks.in/products/run-star-legacy-cx-high-top-converse-utility-utility-egret-white,data/raw/superkicks/men-sneakers/images/converse/run star legacy cx high top converse utility utilityegretwhite,s3://sneakers-ml/data/raw/superkicks/men-sneakers/images/converse/run star legacy cx high top converse utility utilityegretwhite,Converse,Vietnam,CAMP INDIA PVT LTD,0.95kg,Shoe,1 pair,Superkicks India Pvt. Ltd.,A06154C,
Converse,"HER MOVE. You already know our high-topthat canvas upper, the diamond pattern outsole, and iconic ankle patch. We streamlined this classic silhouette for her and dropped it into an ultra-lightweight EVA cupsole, giving you the Chuck Taylor All Star Move. With extra comfort and height. There she goes.  High-top, platform sneaker with canvas upper Classic star ankle patch Beveled-edge eyelets for modern look EVA cushioning makes it lightweight Die-cut SmartFOAM sockliner for extra comfort",,"₹ 4,999.00",WMNS CHUCK TAYLOR ALL STAR MOVE PLATFORM BLACK,men-sneakers,https://www.superkicks.in/collections/men-sneakers,https://www.superkicks.in/products/run-star-hike-canvas-platform-black,data/raw/superkicks/men-sneakers/images/converse/wmns chuck taylor all star move platform black,s3://sneakers-ml/data/raw/superkicks/men-sneakers/images/converse/wmns chuck taylor all star move platform black,Converse,Vietnam,CAMP INDIA PVT LTD,0.95kg,Shoe,1 pair,Superkicks India Pvt. Ltd.,568497C,
Nike,"Created for the hardwood but taken to the streets, the '80s b-ball icon returns with classic details and throwback hoops flare. Channeling vintage style back onto the streets, its padded, low-cut collar lets you take your game anywhere—in comfort.Upper ages to soft perfection and features a durable construction reminiscent of '80s b-ball.Foam midsole offers lightweight, responsive cushioning.Rubber outsole with classic hoops pivot circle adds durability, traction, and heritage style.",,"₹ 9,695.00",DUNK LOW RETRO PREMIUM OIL GREENOLIVE AURA-PHANTOM,men-sneakers,https://www.superkicks.in/collections/men-sneakers,https://www.superkicks.in/products/dunk-low-retro-premium-oil-green-olive-aura-phantom,data/raw/superkicks/men-sneakers/images/nike/dunk low retro premium oil greenolive aura-phantom,s3://sneakers-ml/data/raw/superkicks/men-sneakers/images/nike/dunk low retro premium oil greenolive aura-phantom,Nike India Pvt. Ltd.,Vietnam,Nike India Pvt. Ltd.,0.95 KG,shoe,1 Pair,Superkicks India Pvt. Ltd.,FB8895-300,
Nike,"Styled for the ‘70s. Loved in the ‘80s. Classic in the ‘90s. Ready for the future. The Blazer Mid delivers a timeless design that’s easy to wear, with a two-tone design and split logos referencing the past and present of Nike. Exposed foam on the tongue and a special midsole finish make it look like you’ve just pulled them from the history books. Go ahead—perfect your outfit.Textured leather ages to soft perfection.Originally designed for performance hoops, the durable construction, tough stitching and easy-entry lacing delivers comfort that lasts.Vulcanized construction fuses the sole to the upper for a flexible, broken-in feel.Solid rubber outsole with herringbone pattern adds durable traction and heritage style.",,"₹ 9,695.00",BLAZER MID 77 PREMIUM SUMMIT WHITEBLACK-LIGHT SILVER,men-sneakers,https://www.superkicks.in/collections/men-sneakers,https://www.superkicks.in/products/blazer-mid-77-premium-summit-white-black-light-silver,data/raw/superkicks/men-sneakers/images/nike/blazer mid 77 premium summit whiteblack-light silver,s3://sneakers-ml/data/raw/superkicks/men-sneakers/images/nike/blazer mid 77 premium summit whiteblack-light silver,Nike,Vietnam,Nike India Pvt. Ltd.,0.95kg,Shoe,1 pair,Superkicks India Pvt. Ltd.,DZ2542-100,
Converse,"Transforming the best ever into a style icon of the future, the Chuck 70 AT-CX delivers elevation like never before. A 50% recycled cotton canvas upper and tongue get a lift from a chunky CX foam midsole and sockliner for recycled, exaggerated comfort. Classic Chuck 70 details like a star ankle patch, aluminum eyelets, and cotton laces keep up the heritage look, while a diamond lugged outsole delivers additional traction.  High-top sneaker with 50% recycled cotton canvas upper TPU Bosey toe for added durability CX foam midsole and sockliner for added comfort Chuck 70 details like star ankle patch and cotton laces Diamond lugged outsole for additional traction",,"₹ 7,999.00",CHUCK 70 AT-CX FUTURE COMFORT OFF WHITE,men-sneakers,https://www.superkicks.in/collections/men-sneakers,https://www.superkicks.in/products/chuck-70-at-cx-future-comfort-off-white,data/raw/superkicks/men-sneakers/images/converse/chuck 70 at-cx future comfort off white,s3://sneakers-ml/data/raw/superkicks/men-sneakers/images/converse/chuck 70 at-cx future comfort off white,Converse,Vietnam,CAMP INDIA PVT LTD,0.95kg,Shoe,1 pair,Superkicks India Pvt. Ltd.,A01682C,
Converse,"The latest iteration of the best-selling Run Star Hike, the Run Star Legacy CX mixes bold platform styling with premium comfort. A lightweight CX midsole and sockliner keep you light on your feet, while distorted Chuck Taylor design elements keep them guessing. A winged tongue and heel bumper allow for easy on and off, so nothing can slow you down.  High-top platforms with upper made from about 50% recycled cotton canvas A CX foam midsole and sockliner keep it lightweight and comfortable Distorted rubber pinstripe bumpers for style and easy-off functionality Exaggerated collar and canvas winged tongue for ease of entry Premium laces and a faux leather patch elevate the design",,"₹ 8,499.00",RUN STAR LEGACY CX FUTURE COMFORT BEIGE,men-sneakers,https://www.superkicks.in/collections/men-sneakers,https://www.superkicks.in/products/wmns-run-star-legacy-cx-future-comfort-beige,data/raw/superkicks/men-sneakers/images/converse/run star legacy cx future comfort beige,s3://sneakers-ml/data/raw/superkicks/men-sneakers/images/converse/run star legacy cx future comfort beige,Converse,Vietnam,CAMP INDIA PVT LTD,0.95kg,Shoe,1 pair,Superkicks India Pvt. Ltd.,A00868C,
Converse,"The Converse Chuck 70 Plus Canvas is a convincing new edition of the Converse classic and features a futuristic, black and white design with iconic details, also in Women's with smaller sizes. Eye-catchers are the asymmetrical lines and the split rubber, which give the chuck an expressive look. The characteristic logo patch in the ankle area should not be missing. The OrthoLite® insole allows for an optimally cushioned and therefore very pleasant walking experience.  Textile upper Lacing system Textile lining Rubber outsole Ventilation holes Rubber toe cap Metal eyelets",,"₹ 6,999.00",CHUCK 70 PLUS HI BLACKEGRETBLACK,men-sneakers,https://www.superkicks.in/collections/men-sneakers,https://www.superkicks.in/products/chuck-70-plus-hi-black-egret-black,data/raw/superkicks/men-sneakers/images/converse/chuck 70 plus hi blackegretblack,s3://sneakers-ml/data/raw/superkicks/men-sneakers/images/converse/chuck 70 plus hi blackegretblack,Converse,Vietnam,CAMP INDIA PVT LTD,0.95kg,Shoe,1 pair,Superkicks India Pvt. Ltd.,A00916C,
Adidas Originals,"ATTENTION-GETTING ADIDAS SHOES WITH A FUTURISTIC SILHOUETTE. In a futuristic silhouette born from their polarising predecessor, the Crazy 1, these adidas shoes truly speak for themselves. Beyond their looks, the groundbreaking trainers keep you comfortable with their mid-cut design, uniquely moulded sidewalls and breathable upper.",,"₹ 14,999.00",CRAZY IIINFINITY SILVER METALLICCORE BLACKCREAM WHITE,men-sneakers,https://www.superkicks.in/collections/men-sneakers,https://www.superkicks.in/products/crazy-iiinfinity-silver-metallic-core-black-cream-white,data/raw/superkicks/men-sneakers/images/adidas originals/crazy iiinfinity silver metalliccore blackcream white,s3://sneakers-ml/data/raw/superkicks/men-sneakers/images/adidas originals/crazy iiinfinity silver metalliccore blackcream white,Adidas India Pvt. Ltd.,Vietnam,Adidas India Pvt. Ltd.,0.95 KG,Shoe,1 Pair,Superkicks India Pvt. Ltd.,IE7687,
Reebok,Manufacturer : Reebok Country of Origin : Vietnam Imported By : Reebok India Pvt. Ltd. Weight : 0.95 KG Generic Name : Shoe Unit of Measurement : 1 Pair Marketed By : Superkicks India Pvt. Ltd. Article Code : 100033731,,"₹ 9,999.00",CLUB C BULC VECTOR NAVYFEEL GOOD BLUECYBER MINT,men-sneakers,https://www.superkicks.in/collections/men-sneakers,https://www.superkicks.in/products/club-c-bulc-vector-navy-feel-good-blue-cyber-mint,data/raw/superkicks/men-sneakers/images/reebok/club c bulc vector navyfeel good bluecyber mint,s3://sneakers-ml/data/raw/superkicks/men-sneakers/images/reebok/club c bulc vector navyfeel good bluecyber mint,Reebok,Vietnam,Reebok India Pvt. Ltd.,0.95 KG,Shoe,1 Pair,Superkicks India Pvt. Ltd.,100033731,
Converse,"Just in time for fall weather, your favorite Chucks get a fresh look for the season. Fall-ready canvas in trending colors help you add effortless style to your rotation. These easy-to-wear, expressive Chucks are yours to style however you want.  Low top with cotton canvas upper. OrthoLite cushioning for all-day comfort. Expressive, on-trend color palette. Classic white foxing tape midsole with black pinstripes. Iconic woven tongue label.",,"₹ 3,999.00",CHUCK TAYLOR ALL STAR BROWNBLACK,men-sneakers,https://www.superkicks.in/collections/men-sneakers,https://www.superkicks.in/products/chuck-taylor-all-star-brown-black-1,data/raw/superkicks/men-sneakers/images/converse/chuck taylor all star brownblack,s3://sneakers-ml/data/raw/superkicks/men-sneakers/images/converse/chuck taylor all star brownblack,Converse,Vietnam,CAMP INDIA PVT LTD,0.95kg,Shoe,1 pair,Superkicks India Pvt. Ltd.,A04547C,
Converse,"Just in time for fall weather, your favorite Chucks get a fresh look for the season. Fall-ready canvas in trending colors help you add effortless style to your rotation. These easy-to-wear, expressive Chucks are yours to style however you want.  Low top with cotton canvas upper. OrthoLite cushioning for all-day comfort. Expressive, on-trend color palette. Classic white foxing tape midsole with black pinstripes. Iconic woven tongue label.",,"₹ 3,999.00",CHUCK TAYLOR ALL STAR BLUELIGHT BLUE,men-sneakers,https://www.superkicks.in/collections/men-sneakers,https://www.superkicks.in/products/chuck-taylor-all-star-blue-light-blue,data/raw/superkicks/men-sneakers/images/converse/chuck taylor all star bluelight blue,s3://sneakers-ml/data/raw/superkicks/men-sneakers/images/converse/chuck taylor all star bluelight blue,Converse,Vietnam,CAMP INDIA PVT LTD,0.95kg,Shoe,1 pair,Superkicks India Pvt. Ltd.,A04545C,
Clarks Originals,"An iconic shoe to carry you through this season and many more, the beloved Wallabee returns in a mood-boosting orange shade to energize your collection. Crafted with butter-soft suede for a premium feel, this iconic silhouette stays true to its design DNA with a chunky pebble crepe sole, waxy laces, and tonal logo fobs.",,"₹ 14,999.00",WALLABEE LOW BURNT ORANGE,men-sneakers,https://www.superkicks.in/collections/men-sneakers,https://www.superkicks.in/products/wallabee-low-burnt-orange,data/raw/superkicks/men-sneakers/images/clarks originals/wallabee low burnt orange,s3://sneakers-ml/data/raw/superkicks/men-sneakers/images/clarks originals/wallabee low burnt orange,Clarks Rellance Footwear Pvt. Ltd.,Vietnam,Clarks Rellance Footwear Pvt. Ltd.,0.95 KG,SHOE,1 Pair,Superkicks India Pvt. Ltd.,26173637,
Adidas Originals,"ICONIC ADIDAS SHOES DESIGNED WITH A VISION FROM DECADES AGO. The iconic Superstar silhouette comes to life in premium suede. Born on the basketball court, the Superstar has since walked out of the arena and into the streets, gaining status as an everyday streetwear staple along the way. This fresh take on the sneaker legend features a suede upper in throwback colors, giving it a retro collegiate vibe. Signature shell-toe construction and contrast details pay homage to its hardwood heritage. Whether you're heading to class or embracing casual Fridays, these vintage-inspired kicks infuse an old-school athletic style into your look. Slip on this revised classic and step into over 50 years of history.",,"₹ 11,999.00",SUPERSTAR XLG CGRENNFTWWHTBOGOLD,men-sneakers,https://www.superkicks.in/collections/men-sneakers,https://www.superkicks.in/products/superstar-xlg-cgrenn-ftwwht-bogold,data/raw/superkicks/men-sneakers/images/adidas originals/superstar xlg cgrennftwwhtbogold,s3://sneakers-ml/data/raw/superkicks/men-sneakers/images/adidas originals/superstar xlg cgrennftwwhtbogold,Adidas India Pvt. Ltd.,Indonesia,Adidas India Pvt. Ltd.,0.95 KG,Shoe,1 Pair,Superkicks India Pvt. Ltd.,ID4658,
Converse,"Some things never go out of style, like tortoise print and a fresh pair of platform Chucks. Now you can have both. These low-tops feature hits of tortoise shell print for an effortlessly trendy look. Dress 'em up, dress 'em down—you'll draw attention either way.  Details  Low-top platform shoe with 12oz cotton canvas upper OrthoLite cushioning for all-day comfort Tortoise shell hits for timeless style Tortoise-printed eyelets for an added pop Standard All Star license plate Elevation Height: 38mm",,"₹ 5,499.00",WMNS CHUCK TAYLOR ALL STAR LIFT TORTOISE LOW TOP MAGIC MAGIC PEACOCKEGRETTAWNY OWL,men-sneakers,https://www.superkicks.in/collections/men-sneakers,https://www.superkicks.in/products/wmns-chuck-taylor-all-star-lift-tortoise-low-top-magic-magic-peacock-egret-tawny-owl,data/raw/superkicks/men-sneakers/images/converse/wmns chuck taylor all star lift tortoise low top magic magic peacockegrettawny owl,s3://sneakers-ml/data/raw/superkicks/men-sneakers/images/converse/wmns chuck taylor all star lift tortoise low top magic magic peacockegrettawny owl,Converse,Vietnam,CAMP INDIA PVT LTD,0.95kg,Shoe,1 pair,Superkicks India Pvt. Ltd.,A05288C,
Puma,"Ushering in an evolution in footwear, the Plexus challenges expectations of what a sneaker should look and feel like. It combines an athletic silhouette with a disruptive visual language, turning practical features like laces into a striking design highlight. This version takes inspiration from the desert and adds in our performance PUMAGRIP-ATR outsole, so you can tackle any trail.",,"₹ 11,999.00",PLEXUS SAND IVORYVAPOR GRAY,men-sneakers,https://www.superkicks.in/collections/men-sneakers,https://www.superkicks.in/products/plexus-sand-ivory-vapor-gray,data/raw/superkicks/men-sneakers/images/puma/plexus sand ivoryvapor gray,s3://sneakers-ml/data/raw/superkicks/men-sneakers/images/puma/plexus sand ivoryvapor gray,Puma,China,Puma India Pvt. Ltd.,0.95kg,shoe,1 Pair,Superkicks India Pvt. Ltd.,39315701,
Converse,"Just in time for cooler weather, your favorite Chuck 70 gets refreshed for the season. Fall-ready canvas in lush colors help you add lasting style to your rotation. On shorter days and longer nights, this timeless look is always ready for you to style your way.  High-top shoe with canvas upper. OrthoLite cushioning for all-day comfort. On-trend color palette. Iconic Converse egret midsole. Faux leather All Star patch.",,"₹ 5,999.00",CHUCK 70 NAVY,men-sneakers,https://www.superkicks.in/collections/men-sneakers,https://www.superkicks.in/products/chuck-70-navy,data/raw/superkicks/men-sneakers/images/converse/chuck 70 navy,s3://sneakers-ml/data/raw/superkicks/men-sneakers/images/converse/chuck 70 navy,Converse,Vietnam,CAMP INDIA PVT LTD,0.95kg,Shoe,1 pair,Superkicks India Pvt. Ltd.,A04589C,
Adidas Originals,"RETRO TRAINERS CRAFTED FROM PREMIUM LEATHER. The adidas Superstar shoes have trekked across pitches, pavement, and stages — maybe next the red carpet? The classic silhouette gets a luxe upgrade with premium materials. The entire upper — right down to the signature shell toe — is crafted from soft premium leather, inside and out. Subtle monochrome panelling preserves all the classic design elements with an added air of elegance. The mellow palette adds versatility. Dress them up for formal functions or dress them down for everyday elegance — the choice is yours.",,"₹ 14,999.00",SUPERSTAR LUX WONDER BEIGEALUMINIUM,men-sneakers,https://www.superkicks.in/collections/men-sneakers,https://www.superkicks.in/products/superstar-lux-wonder-beige-aluminium,data/raw/superkicks/men-sneakers/images/adidas originals/superstar lux wonder beigealuminium,s3://sneakers-ml/data/raw/superkicks/men-sneakers/images/adidas originals/superstar lux wonder beigealuminium,Adidas India Pvt. Ltd.,Indonesia,Adidas India Pvt. Ltd.,0.95 KG,Shoe,1 Pair,Superkicks India Pvt. Ltd.,IE2302,
Converse,"Introducing the latest in the Chuck Taylor legacy: the Chuck Taylor All Star Cruise. Designed to pay homage to counterculture fashion, they combine a classic canvas upper with skateboarding-inspired elements, such as a row of perforated suede eyelets. A dotted, layered midsole adds extra intrigue without losing sight of the signature Converse style.",,"₹ 5,499.00",CHUCK TAYLOR ALL STAR CRUISE MAUVE,men-sneakers,https://www.superkicks.in/collections/men-sneakers,https://www.superkicks.in/products/chuck-taylor-all-star-cruise-mauve,data/raw/superkicks/men-sneakers/images/converse/chuck taylor all star cruise mauve,s3://sneakers-ml/data/raw/superkicks/men-sneakers/images/converse/chuck taylor all star cruise mauve,Converse,Vietnam,CAMP INDIA PVT LTD,0.95kg,Shoe,1 pair,Superkicks India Pvt. Ltd.,A06142C,
Converse,Get your hands on the Chuck 70 Crafted Ollie Patch from the best sneaker stockists around the world.    Canvas upper is lightweight and durable The timeless silhouette you know and love High profile for classic coverage Medial eyelets enhance airflow Classic All Star ankle patch,,"₹ 6,499.00",CHUCK 70 CRAFTED OLLIE PATCH VARSITY RED,men-sneakers,https://www.superkicks.in/collections/men-sneakers,https://www.superkicks.in/products/chuck-70-crafted-ollie-patch-varsity-red,data/raw/superkicks/men-sneakers/images/converse/chuck 70 crafted ollie patch varsity red,s3://sneakers-ml/data/raw/superkicks/men-sneakers/images/converse/chuck 70 crafted ollie patch varsity red,Converse,Vietnam,CAMP INDIA PVT LTD,0.95kg,Shoe,1 pair,Superkicks India Pvt. Ltd.,A04499C,
